woorden,lettergrepen,aantal lettergrepen
lijkentouw,"['lij', 'ken', 'touw']",3
sterfelijk,"['ster', 'fe', 'lijk']",3
geldkoersen,"['geld', 'koer', 'sen']",3
regiempjes,"['re', 'giem', 'pjes']",3
beekforel,"['beek', 'fo', 'rel']",3
Minnan,"['Min', 'nan']",2
sloebertjes,"['sloe', 'ber', 'tjes']",3
stigmatisatie,"['stig', 'ma', 'ti', 'sa', 'tie']",5
honderdtweeëntachtigjarigen,"['hon', 'derd', 'tweeën', 'tach', 'tig', 'ja', 'ri', 'gen']",8
wraaklustigst,"['wraak', 'lus', 'tigst']",3
gidsfossiel,"['gids', 'fos', 'siel']",3
poetryslam,"['po', 'e', 'try', 'slam']",4
uitkeringstrekker,"['uit', 'ke', 'rings', 'trek', 'ker']",5
webstek,"['web', 'stek']",2
conceptualisme,"['con', 'cep', 'tu', 'a', 'lis', 'me']",6
leuteren,"['leu', 'te', 'ren']",3
zandstormen,"['zand', 'stor', 'men']",3
onaangekleedste,"['on', 'aan', 'ge', 'kleed', 'ste']",5
broodeters,"['brood', 'eters']",2
postauto,"['post', 'au', 'to']",3
oxymoron,"['oxy', 'mo', 'ron']",3
story,"['sto', 'ry']",2
schitterend,"['schit', 'te', 'rend']",3
wenken,"['wen', 'ken']",2
beschaafde,"['be', 'schaaf', 'de']",3
vuurspuwen,"['vuur', 'spu', 'wen']",3
gekwekt,"['ge', 'kwekt']",2
Wikispecies,"['Wi', 'ki', 'spe', 'cies']",4
putts,['putts'],1
ferventst,"['fer', 'ventst']",2
klap,['klap'],1
kant-en-klaarmaaltijdje,"['kant-en-klaar', 'maal', 'tijd', 'je']",4
-ares,"['-a', 'res']",2
filmspelers,"['film', 'spe', 'lers']",3
waaghalzerigst,"['waag', 'hal', 'ze', 'rigst']",4
clusters,"['clus', 'ters']",2
aanbakseltjes,"['aan', 'bak', 'sel', 'tjes']",4
na-apertje,"['na-aper', 'tje']",2
hechtenis,"['hech', 'te', 'nis']",3
aasden,"['aas', 'den']",2
vleugelspanwijdte,"['vleu', 'gel', 'span', 'wijd', 'te']",5
bedingen,"['be', 'din', 'gen']",3
brildrager,"['bril', 'dra', 'ger']",3
ongewijd,"['on', 'ge', 'wijd']",3
trommelstok,"['trom', 'mel', 'stok']",3
sneeuwlaagje,"['sneeuw', 'laag', 'je']",3
zeepsteen,"['zeep', 'steen']",2
klasse,"['klas', 'se']",2
archiefbescheiden,"['ar', 'chief', 'be', 'schei', 'den']",5
verdienste,"['ver', 'dien', 'ste']",3
droogteperiodetje,"['droog', 'te', 'pe', 'ri', 'o', 'de', 'tje']",7
sabberen,"['sab', 'be', 'ren']",3
vuurwapentjes,"['vuur', 'wa', 'pen', 'tjes']",4
flink,['flink'],1
versierster,"['ver', 'sier', 'ster']",3
constant,"['con', 'stant']",2
trekbusje,"['trek', 'bus', 'je']",3
orthopedist,"['or', 'tho', 'pe', 'dist']",4
parkeerbiljet,"['par', 'keer', 'bil', 'jet']",4
doorverwijzen,"['door', 'ver', 'wij', 'zen']",4
bijspringen,"['bij', 'sprin', 'gen']",3
benzinetanks,"['ben', 'zi', 'ne', 'tanks']",4
zitplaats,"['zit', 'plaats']",2
onderverdeelden,"['on', 'der', 'ver', 'deel', 'den']",5
hooghartiger,"['hoog', 'har', 'ti', 'ger']",4
huidig,"['hui', 'dig']",2
droogkuis,"['droog', 'kuis']",2
levercirrose,"['le', 'ver', 'cir', 'ro', 'se']",5
proeven,"['proe', 'ven']",2
kortte in,"['kort', 'te', 'in']",3
seks,['seks'],1
partijcongres,"['par', 'tij', 'con', 'gres']",4
curlingoudertjes,"['cur', 'ling', 'ou', 'der', 'tjes']",5
illegalen,"['il', 'le', 'ga', 'len']",4
jiffybag,"['jif', 'fy', 'bag']",3
datacommunicatie,"['da', 'ta', 'com', 'mu', 'ni', 'ca', 'tie']",7
schaamteloost,"['schaam', 'te', 'loost']",3
houtslijperijen,"['hout', 'slij', 'pe', 'rij', 'en']",5
survivaltocht,"['sur', 'vi', 'val', 'tocht']",4
dichttimmer,"['dicht', 'tim', 'mer']",3
bosneger,"['bos', 'ne', 'ger']",3
Geneeskunde,"['Ge', 'nees', 'kun', 'de']",4
parachutes,"['pa', 'ra', 'chu', 'tes']",4
apennoot,"['apen', 'noot']",2
bijwijlen,"['bij', 'wij', 'len']",3
onderwijsministers,"['on', 'der', 'wijs', 'mi', 'nis', 'ters']",6
omroep,"['om', 'roep']",2
wijzigingen,"['wij', 'zi', 'gin', 'gen']",4
horens,"['ho', 'rens']",2
huislijkst,"['huis', 'lijkst']",2
parlement,"['par', 'le', 'ment']",3
accommodeer,"['ac', 'com', 'mo', 'deer']",4
aanvliegroute,"['aan', 'vlieg', 'rou', 'te']",4
kuip,['kuip'],1
hebt beet,"['hebt', 'beet']",2
meconium,"['me', 'co', 'ni', 'um']",4
computerpassies,"['com', 'pu', 'ter', 'pas', 'sies']",5
snakerigers,"['sna', 'ke', 'ri', 'gers']",4
doorgeschoten,"['door', 'ge', 'scho', 'ten']",4
acanthusmotieven,"['acan', 'thus', 'mo', 'tie', 'ven']",5
woonmilieus,"['woon', 'mi', 'li', 'eus']",4
advenant,"['ad', 've', 'nant']",3
namen uiteen,"['na', 'men', 'uit', 'een']",4
zwermpot,"['zwerm', 'pot']",2
bepaald lidwoord,"['be', 'paald', 'lid', 'woord']",4
Louisiana,"['Loui', 'si', 'a', 'na']",4
kaki,"['ka', 'ki']",2
bewerkstelligen,"['be', 'werk', 'stel', 'li', 'gen']",5
groepswerkplan,"['groeps', 'werk', 'plan']",3
abracadabra,"['abra', 'ca', 'da', 'bra']",4
Dominicaanse Republiek,"['Do', 'mi', 'ni', 'caan', 'se', 'Re', 'pu', 'bliek']",8
monosemie,"['mo', 'no', 'se', 'mie']",4
verschaffen,"['ver', 'schaf', 'fen']",3
deuvekater,"['deu', 've', 'ka', 'ter']",4
euro-obligatie,"['eu', 'ro-obli', 'ga', 'tie']",4
inspannen,"['in', 'span', 'nen']",3
afvinken,"['af', 'vin', 'ken']",3
epicuristischers,"['epi', 'cu', 'ris', 'ti', 'schers']",5
paart,['paart'],1
-loo,['-loo'],1
koolzwartste,"['kool', 'zwart', 'ste']",3
postmodernst,"['post', 'mo', 'dernst']",3
infraai,"['in', 'fraai']",2
dresseerplank,"['dres', 'seer', 'plank']",3
doorhakkende,"['door', 'hak', 'ken', 'de']",4
katoenen,"['ka', 'toe', 'nen']",3
bezwaarschrift,"['be', 'zwaar', 'schrift']",3
Gambiaanste,"['Gam', 'bi', 'aans', 'te']",4
nature,"['na', 'tu', 're']",3
angstdroom,"['angst', 'droom']",2
Mordovië,"['Mor', 'do', 'vië']",3
blijf achter,"['blijf', 'ach', 'ter']",3
leblammetjes,"['leb', 'lam', 'me', 'tjes']",4
afgebakende,"['af', 'ge', 'ba', 'ken', 'de']",5
eva's,"[""eva's""]",1
bokkenvelletje,"['bok', 'ken', 'vel', 'le', 'tje']",5
waarop,"['waar', 'op']",2
antropomorfiseren,"['an', 'tro', 'po', 'mor', 'fi', 'se', 'ren']",7
lasrook,"['las', 'rook']",2
brekebenen,"['bre', 'ke', 'be', 'nen']",4
koutje,"['kou', 'tje']",2
opstromend,"['op', 'stro', 'mend']",3
spoorwegmaatschappij,"['spoor', 'weg', 'maat', 'schap', 'pij']",5
Embaloh,"['Em', 'ba', 'loh']",3
jaaglijntje,"['jaag', 'lijn', 'tje']",3
psychonaut,"['psy', 'cho', 'naut']",3
kruid,['kruid'],1
kotter,"['kot', 'ter']",2
peroxide,"['per', 'oxi', 'de']",3
Johannesburg,"['Jo', 'han', 'nes', 'burg']",4
mirte,"['mir', 'te']",2
paas,['paas'],1
uitspoelen,"['uit', 'spoe', 'len']",3
belangengroepje,"['be', 'lan', 'gen', 'groep', 'je']",5
luchtkussenvaartuig,"['lucht', 'kus', 'sen', 'vaar', 'tuig']",5
soldateskere,"['sol', 'da', 'tes', 'ke', 're']",5
brandweervrouwtjes,"['brand', 'weer', 'vrouw', 'tjes']",4
gestresst,"['ge', 'stresst']",2
dis-mineurtoonschaal,"['dis-mi', 'neur', 'toon', 'schaal']",4
Arubaanse florins,"['Aru', 'baan', 'se', 'flo', 'rins']",5
parachutisten,"['pa', 'ra', 'chu', 'tis', 'ten']",5
gebakst,"['ge', 'bakst']",2
Texaan,['Texaan'],1
boekhouding,"['boek', 'hou', 'ding']",3
Noord-Afrika,"['Noord-Afri', 'ka']",2
achterzakje,"['ach', 'ter', 'zak', 'je']",4
vilder,"['vil', 'der']",2
landlopen,"['land', 'lo', 'pen']",3
jaknikken,"['ja', 'knik', 'ken']",3
tantalium,"['tan', 'ta', 'li', 'um']",4
meeondertekenen,"['mee', 'on', 'der', 'te', 'ke', 'nen']",6
boemelt,"['boe', 'melt']",2
merengebied,"['me', 'ren', 'ge', 'bied']",4
ronddolend,"['rond', 'do', 'lend']",3
bouwt om,"['bouwt', 'om']",2
pakte samen,"['pak', 'te', 'sa', 'men']",4
nazibewind,"['na', 'zi', 'be', 'wind']",4
slechtst,['slechtst'],1
grensdorpjes,"['grens', 'dorp', 'jes']",3
verzamelbakken,"['ver', 'za', 'mel', 'bak', 'ken']",5
klepel,"['kle', 'pel']",2
psychologie,"['psy', 'cho', 'lo', 'gie']",4
aanbetaalde,"['aan', 'be', 'taal', 'de']",4
afhaalchinezen,"['af', 'haal', 'chi', 'ne', 'zen']",5
continubedrijven,"['con', 'ti', 'nu', 'be', 'drij', 'ven']",6
politiemachten,"['po', 'li', 'tie', 'mach', 'ten']",5
Amazoneregenwoud,"['Ama', 'zo', 'ne', 're', 'gen', 'woud']",6
voelt,['voelt'],1
roofbleien,"['roof', 'blei', 'en']",3
psychiatrie,"['psy', 'chi', 'a', 'trie']",4
zwaaitje,"['zwaai', 'tje']",2
suikerbakker,"['sui', 'ker', 'bak', 'ker']",4
ontbijtnieuws,"['ont', 'bijt', 'nieuws']",3
inlijft,"['in', 'lijft']",2
paaps,['paaps'],1
meldkamers,"['meld', 'ka', 'mers']",3
kosmografie,"['kos', 'mo', 'gra', 'fie']",4
Hollandsche IJssel,"['Hol', 'land', 'sche', 'IJs', 'sel']",5
werk op,"['werk', 'op']",2
chaotisch,"['cha', 'o', 'tisch']",3
boomer,"['boo', 'mer']",2
competitieverantwoordelijken,"['com', 'pe', 'ti', 'tie', 'ver', 'ant', 'woor', 'de', 'lij', 'ken']",10
kaneelwafels,"['ka', 'neel', 'wa', 'fels']",4
indicateurdiagram,"['in', 'di', 'ca', 'teur', 'dia', 'gram']",6
treuzelige,"['treu', 'ze', 'li', 'ge']",4
vuils,['vuils'],1
kerkhistorici,"['kerk', 'his', 'to', 'ri', 'ci']",5
heeft,['heeft'],1
dikkenek,"['dik', 'ke', 'nek']",3
naglansen,"['na', 'glan', 'sen']",3
belang,"['be', 'lang']",2
vergroofde,"['ver', 'groof', 'de']",3
snaterde,"['sna', 'ter', 'de']",3
website,"['web', 'site']",2
bloemkooloor,"['bloem', 'kool', 'oor']",3
slijmerige,"['slij', 'me', 'ri', 'ge']",4
fiancés,"['fi', 'an', 'cés']",3
kabinetsraadje,"['ka', 'bi', 'nets', 'raad', 'je']",5
moeshoven,"['moes', 'ho', 'ven']",3
Byzantijnsen,"['By', 'zan', 'tijn', 'sen']",4
Rudy's,"['Ru', ""dy's""]",2
klaargemaakt,"['klaar', 'ge', 'maakt']",3
ondoelmatigs,"['on', 'doel', 'ma', 'tigs']",4
zomerhuisje,"['zo', 'mer', 'huis', 'je']",4
zeemden af,"['zeem', 'den', 'af']",3
ongenegener,"['on', 'ge', 'ne', 'ge', 'ner']",5
oproepen,"['op', 'roe', 'pen']",3
leegmaken,"['leeg', 'ma', 'ken']",3
zwemband,"['zwem', 'band']",2
openlaten,"['open', 'la', 'ten']",3
vertikken,"['ver', 'tik', 'ken']",3
duiker,"['dui', 'ker']",2
ambigu,"['am', 'bi', 'gu']",3
Marshallees,"['Mar', 'shal', 'lees']",3
potjesgrieks,"['pot', 'jes', 'grieks']",3
beangst,"['be', 'angst']",2
deporteert,"['de', 'por', 'teert']",3
Kretenzisch,"['Kre', 'ten', 'zisch']",3
bijwerking,"['bij', 'wer', 'king']",3
contraceptiemiddel,"['con', 'tra', 'cep', 'tie', 'mid', 'del']",6
afzomen,"['af', 'zo', 'men']",3
postcommunistischers,"['post', 'com', 'mu', 'nis', 'ti', 'schers']",6
Kosovo,"['Ko', 'so', 'vo']",3
ideale,"['ide', 'a', 'le']",3
vedelen,"['ve', 'de', 'len']",3
juxtaponerend,"['jux', 'ta', 'po', 'ne', 'rend']",5
magazijntje,"['ma', 'ga', 'zijn', 'tje']",4
vochtigheid,"['voch', 'tig', 'heid']",3
vastgoedmanagers,"['vast', 'goed', 'ma', 'na', 'gers']",5
leeglopen,"['leeg', 'lo', 'pen']",3
enten,"['en', 'ten']",2
behou voor,"['be', 'hou', 'voor']",3
schenden,"['schen', 'den']",2
aanbouwsel,"['aan', 'bouw', 'sel']",3
aromaat,"['aro', 'maat']",2
chanteerden,"['chan', 'teer', 'den']",3
inmetend,"['in', 'me', 'tend']",3
menigtes,"['me', 'nig', 'tes']",3
ijslaagjes,"['ijs', 'laag', 'jes']",3
fraterniteit,"['fra', 'ter', 'ni', 'teit']",4
doordrongen,"['door', 'dron', 'gen']",3
klote,"['klo', 'te']",2
janoom,"['jan', 'oom']",2
bassleutel,"['bas', 'sleu', 'tel']",3
platenbonnetje,"['pla', 'ten', 'bon', 'ne', 'tje']",5
zwerfkind,"['zwerf', 'kind']",2
woonleningen,"['woon', 'le', 'nin', 'gen']",4
carbuur,"['car', 'buur']",2
talenknobbel,"['ta', 'len', 'knob', 'bel']",4
slap,['slap'],1
bezorgster,"['be', 'zorg', 'ster']",3
vluchtstrook,"['vlucht', 'strook']",2
netjes,"['net', 'jes']",2
Bhutan,"['Bhu', 'tan']",2
Brahui,"['Bra', 'hui']",2
zekerden,"['ze', 'ker', 'den']",3
-t,['-t'],1
reostaat,"['reo', 'staat']",2
bosbrandverzekering,"['bos', 'brand', 'ver', 'ze', 'ke', 'ring']",6
jongleren,"['jong', 'le', 'ren']",3
Tupinambá,"['Tu', 'pi', 'nam', 'bá']",4
vonkenboer,"['von', 'ken', 'boer']",3
cyrillisch,"['cy', 'ril', 'lisch']",3
CEO,['CEO'],1
hoofdlettergevoelig,"['hoofd', 'let', 'ter', 'ge', 'voe', 'lig']",6
strubbelingetjes,"['strub', 'be', 'lin', 'ge', 'tjes']",5
uitslag,"['uit', 'slag']",2
systeemwetenschap,"['sys', 'teem', 'we', 'ten', 'schap']",5
antropofagie,"['an', 'tro', 'po', 'fa', 'gie']",5
renommee,"['re', 'nom', 'mee']",3
stapelbaar,"['sta', 'pel', 'baar']",3
supermoois,"['su', 'per', 'moois']",3
behoren,"['be', 'ho', 'ren']",3
blijft,['blijft'],1
prune,"['pru', 'ne']",2
adnexitis,"['ad', 'nex', 'i', 'tis']",4
ingekeerd,"['in', 'ge', 'keerd']",3
ontbijten,"['ont', 'bij', 'ten']",3
neodymium,"['neo', 'dy', 'mi', 'um']",4
aamborstig,"['aam', 'bor', 'stig']",3
wachtwoord,"['wacht', 'woord']",2
zygoot,"['zy', 'goot']",2
staande uitdrukking,"['staan', 'de', 'uit', 'druk', 'king']",5
peulvormigere,"['peul', 'vor', 'mi', 'ge', 're']",5
lijm,['lijm'],1
spijkerbroek,"['spij', 'ker', 'broek']",3
noorden,"['noor', 'den']",2
terugschrok,"['te', 'rug', 'schrok']",3
zoutgehalte,"['zout', 'ge', 'hal', 'te']",4
meebeslist,"['mee', 'be', 'slist']",3
spekglad,"['spek', 'glad']",2
-aat,['-aat'],1
stroomregelaar,"['stroom', 're', 'ge', 'laar']",4
sleutelgaatjes,"['sleu', 'tel', 'gaat', 'jes']",4
muilezelinnetjes,"['muil', 'eze', 'lin', 'ne', 'tjes']",5
gestroomde,"['ge', 'stroom', 'de']",3
Salomonsoordeel,"['Sa', 'lo', 'mons', 'oor', 'deel']",5
Assamees,"['As', 'sa', 'mees']",3
parasitisch,"['pa', 'ra', 'si', 'tisch']",4
Bhojpuri,"['Bhoj', 'pu', 'ri']",3
zetting,"['zet', 'ting']",2
fint,['fint'],1
doorbuigen,"['door', 'bui', 'gen']",3
monocle,"['mo', 'no', 'cle']",3
prijssom,"['prijs', 'som']",2
accent,"['ac', 'cent']",2
kantoorsletjes,"['kan', 'toor', 'slet', 'jes']",4
biradiaal,"['bi', 'ra', 'di', 'aal']",4
Italiaan,"['Ita', 'li', 'aan']",3
kerstpot,"['kerst', 'pot']",2
verfilmen,"['ver', 'fil', 'men']",3
luiwammes,"['lui', 'wam', 'mes']",3
bamibal,"['ba', 'mi', 'bal']",3
duldbaarst,"['duld', 'baarst']",2
beteert,"['be', 'teert']",2
slak,['slak'],1
financieel-economisch,"['fi', 'nan', 'ci', 'eel-eco', 'no', 'misch']",6
gehinderd,"['ge', 'hin', 'derd']",3
syntaxis,"['syn', 'taxis']",2
veegde aan,"['veeg', 'de', 'aan']",3
kwiekwie,"['kwie', 'kwie']",2
groentewinkeltjes,"['groen', 'te', 'win', 'kel', 'tjes']",5
Zwitsers-Duitse,"['Zwit', 'sers-Duit', 'se']",3
betweter,"['bet', 'we', 'ter']",3
oudheidkundigst,"['oud', 'heid', 'kun', 'digst']",4
vrouwenpraatgroepen,"['vrou', 'wen', 'praat', 'groe', 'pen']",5
afdalend,"['af', 'da', 'lend']",3
Antarctica,"['An', 'tarc', 'ti', 'ca']",4
leugendetector,"['leu', 'gen', 'de', 'tec', 'tor']",5
indrukwekkenders,"['in', 'druk', 'wek', 'ken', 'ders']",5
woedend,"['woe', 'dend']",2
vrijgezel,"['vrij', 'ge', 'zel']",3
hoogaltaar,"['hoog', 'al', 'taar']",3
schuivertjes,"['schui', 'ver', 'tjes']",3
freelancer,"['free', 'lan', 'cer']",3
piemelend,"['pie', 'me', 'lend']",3
gestoven,"['ge', 'sto', 'ven']",3
woordvoerder,"['woord', 'voer', 'der']",3
Tsjechië,"['Tsje', 'chië']",2
kukeleku,"['ku', 'ke', 'le', 'ku']",4
geschiedenisonderwijs,"['ge', 'schie', 'de', 'nis', 'on', 'der', 'wijs']",7
gezalfd,"['ge', 'zalfd']",2
rutiel,"['ru', 'tiel']",2
sofiekruid,"['so', 'fie', 'kruid']",3
vogelaar,"['vo', 'ge', 'laar']",3
naaikrans,"['naai', 'krans']",2
specerij,"['spe', 'ce', 'rij']",3
driedoornige stekelbaars,"['drie', 'door', 'ni', 'ge', 'ste', 'kel', 'baars']",7
Aboriginaltje,"['Abo', 'ri', 'gi', 'nal', 'tje']",5
ossekop,"['os', 'se', 'kop']",3
betere,"['be', 'te', 're']",3
dash,['dash'],1
skipas,"['ski', 'pas']",2
brouilleren,"['brouil', 'le', 'ren']",3
stroef,['stroef'],1
boeien,"['boei', 'en']",2
koolraap,"['kool', 'raap']",2
cyto-,"['cy', 'to-']",2
halfzusje,"['half', 'zus', 'je']",3
holisme,"['ho', 'lis', 'me']",3
interwikiconflicten,"['in', 'ter', 'wi', 'ki', 'con', 'flic', 'ten']",7
subcontinent,"['sub', 'con', 'ti', 'nent']",4
marktadoratie,"['markt', 'ado', 'ra', 'tie']",4
restembryo,"['rest', 'em', 'bryo']",3
notenbalkje,"['no', 'ten', 'balk', 'je']",4
Saharaans,"['Sa', 'ha', 'raans']",3
makrons,"['ma', 'krons']",2
gadolinium,"['ga', 'do', 'li', 'ni', 'um']",5
hotelingang,"['ho', 'tel', 'in', 'gang']",4
kaarten,"['kaar', 'ten']",2
impala,"['im', 'pa', 'la']",3
syllabaire,"['syl', 'la', 'bai', 're']",4
documentair,"['do', 'cu', 'men', 'tair']",4
hartslag,"['hart', 'slag']",2
boodschappenlijstje,"['bood', 'schap', 'pen', 'lijst', 'je']",5
handelwijs,"['han', 'del', 'wijs']",3
algonkium,"['al', 'gon', 'ki', 'um']",4
Grenada,"['Gre', 'na', 'da']",3
datingbureaus,"['da', 'ting', 'bu', 'reaus']",4
opgeld,"['op', 'geld']",2
deerlijker,"['deer', 'lij', 'ker']",3
pensioneren,"['pen', 'si', 'o', 'ne', 'ren']",5
zestigduizend,"['zes', 'tig', 'dui', 'zend']",4
koolbladeren,"['kool', 'bla', 'de', 'ren']",4
waai,['waai'],1
aandelenhandel,"['aan', 'de', 'len', 'han', 'del']",5
kerstzuurstokken,"['kerst', 'zuur', 'stok', 'ken']",4
occipitaal,"['oc', 'ci', 'pi', 'taal']",4
kookstelletjes,"['kook', 'stel', 'le', 'tjes']",4
documentairetjes,"['do', 'cu', 'men', 'tai', 're', 'tjes']",6
tomatensaus,"['to', 'ma', 'ten', 'saus']",4
ros,['ros'],1
toebehoord,"['toe', 'be', 'hoord']",3
stembussen,"['stem', 'bus', 'sen']",3
zwangerschapsklachten,"['zwan', 'ger', 'schaps', 'klach', 'ten']",5
simpel,"['sim', 'pel']",2
nachtraven,"['nacht', 'ra', 'ven']",3
bovenmenselijk,"['bo', 'ven', 'men', 'se', 'lijk']",5
massamoord,"['mas', 'sa', 'moord']",3
behangpatroongroep,"['be', 'hang', 'pa', 'troon', 'groep']",5
poederkoffie,"['poe', 'der', 'kof', 'fie']",4
feestvierend,"['feest', 'vie', 'rend']",3
anarchofeminisme,"['an', 'ar', 'cho', 'fe', 'mi', 'nis', 'me']",7
aandelenkoersjes,"['aan', 'de', 'len', 'koers', 'jes']",5
ditransitief,"['di', 'tran', 'si', 'tief']",4
geilpik,"['geil', 'pik']",2
courgette,"['cour', 'get', 'te']",3
beschutten,"['be', 'schut', 'ten']",3
deelgroepjes,"['deel', 'groep', 'jes']",3
naamveranderingen,"['naam', 'ver', 'an', 'de', 'rin', 'gen']",6
kinderoog,"['kin', 'der', 'oog']",3
rood peperboompje,"['rood', 'pe', 'per', 'boom', 'pje']",5
toernooitjes,"['toer', 'nooi', 'tjes']",3
artiest,"['ar', 'tiest']",2
koddebeier,"['kod', 'de', 'bei', 'er']",4
vorkbliksem,"['vork', 'blik', 'sem']",3
moderatoractie,"['mo', 'de', 'ra', 'tor', 'ac', 'tie']",6
dimensionale,"['di', 'men', 'si', 'o', 'na', 'le']",6
slurptaks,"['slurp', 'taks']",2
kamt,['kamt'],1
gelulen,"['ge', 'lu', 'len']",3
eenvormiger,"['een', 'vor', 'mi', 'ger']",4
verlaagd,"['ver', 'laagd']",2
masala,"['ma', 'sa', 'la']",3
noodaggregaat,"['nood', 'ag', 'gre', 'gaat']",4
kwantumkorting,"['kwan', 'tum', 'kor', 'ting']",4
bungalowtjes,"['bun', 'ga', 'low', 'tjes']",4
Tamil Nadu,"['Ta', 'mil', 'Na', 'du']",4
wulp,['wulp'],1
aanvoerhaven,"['aan', 'voer', 'ha', 'ven']",4
bezigheidstherapieën,"['be', 'zig', 'heids', 'the', 'ra', 'pie', 'ën']",7
verwerp,"['ver', 'werp']",2
onbedeeldste,"['on', 'be', 'deeld', 'ste']",4
bitsigers,"['bit', 'si', 'gers']",3
zelfsturendst,"['zelf', 'stu', 'rendst']",3
onovergankelijkers,"['on', 'over', 'gan', 'ke', 'lij', 'kers']",6
kerstster,"['kerst', 'ster']",2
tongkus,"['tong', 'kus']",2
doe-het-zelfwinkel,"['doe-het-zelf', 'win', 'kel']",3
zeleren,"['ze', 'le', 'ren']",3
snelstaal,"['snel', 'staal']",2
Wanukaka,"['Wa', 'nu', 'ka', 'ka']",4
detecteerbaar,"['de', 'tec', 'teer', 'baar']",4
prima facie,"['pri', 'ma', 'fa', 'cie']",4
convergent,"['con', 'ver', 'gent']",3
charlatannetje,"['char', 'la', 'tan', 'ne', 'tje']",5
amplitude,"['am', 'pli', 'tu', 'de']",4
goede,"['goe', 'de']",2
meester,"['mees', 'ter']",2
lamleggen,"['lam', 'leg', 'gen']",3
minnaar,"['min', 'naar']",2
kuitziek,"['kuit', 'ziek']",2
kroegbaas,"['kroeg', 'baas']",2
macro-economie,"['ma', 'cro-eco', 'no', 'mie']",4
achterste,"['ach', 'ter', 'ste']",3
stylieten,"['sty', 'lie', 'ten']",3
niobium,"['ni', 'o', 'bi', 'um']",4
plooibaar,"['plooi', 'baar']",2
zakte neer,"['zak', 'te', 'neer']",3
twenters,"['twen', 'ters']",2
riddereedjes,"['rid', 'der', 'eed', 'jes']",4
ordegetalletjes,"['or', 'de', 'ge', 'tal', 'le', 'tjes']",6
beoogt,"['be', 'oogt']",2
bijt,['bijt'],1
zwartgeblakerd,"['zwart', 'ge', 'bla', 'kerd']",4
goaltjes,"['goal', 'tjes']",2
kolombekisting,"['ko', 'lom', 'be', 'kis', 'ting']",5
zwembadwater,"['zwem', 'bad', 'wa', 'ter']",4
aardpooltje,"['aard', 'pool', 'tje']",3
euro,"['eu', 'ro']",2
